ADVERB
ailleurs
alentour
arrière
au-delà 
au-dessous
au-dessus 
au-devant
autour
apparemment
assurément
aussi
bien
bon
alors
après
après-demain
aujourd'hui
auparavant
aussitôt
autrefois
avant
avant-hier
bientôt
cependant
 ainsi
à peine
à peu près
absolument
assez
aussi
autant
autrement
approximativement
beaucoup
carrément 
combien
comme
admirablement 
ainsi
aussi
bien
comme
comment
debout 
doucement
avant
ça
céans
ci
contre
deçà
dedans
dehors
certainement
certes
en vérité
oui 
peut-être
d'abord
déjà
demain
depuis
derechef
désormais
dorénavant
encore
enfin
ensuite
entre-temps
complètement
davantage 
à demi 
diablement 
divinement
drôlement
encore
entièrement
environ
extrêmement
fort
grandement 
guère
infiniment
également 
ensemble
exprès
franco
gratis
impromptu
incognito
lentement
derrière
dessous 
dessus
devant
ici
là
là-haut
loin
précisément
probablement
si 
soit
hier
jadis
jamais
longtemps
lors
maintenant
naguère
parfois
plus
premièrement 
puis
insuffisamment 
joliment 
même
moins
pas mal 
passablement 
peu
plus
plutôt 
presque
prou
quasi 
quasiment 
quelque
mal
mieux
pis
plutôt
presque
recta
vite
volontiers
où
outre
partout
près
proche
sus 
y
tout à fait
toutefois
volontiers
vraiment 
vraisemblablement
quand
quelquefois
sitôt
soudain
souvent
subito
tantôt
tard
tôt
toujours
rudement
si 
suffisamment
tant
tellement 
terriblement
totalement
tout
tout à fait
très
trop
un peu
être
faut
va
vis
vie
pourrait
mettre
peuvent
meme
dont
face
permet
plusieurs
principalement
